srr	rc	offset	p	fdr
SRR1257258	28	12	3.99474835259445e-53	2.5051602297765e-51
SRR4293694	30	12	7.22422587940769e-53	4.4841802065752e-51
SRR1528692	29	12	9.34127538420917e-53	5.73969476385297e-51
SRR1758413	28	12	1.30851505598632e-52	7.9596970855648e-51
SRR1257252	28	12	1.75154199326357e-52	1.0549138559428e-50
SRR3306584	29	12	6.83818672440091e-52	4.07810684750302e-50
SRR1758393	28	12	3.78350988286324e-51	2.23447481722884e-49
SRR1535529	29	12	4.74003050727967e-51	2.77246207459445e-49
SRR2873532	29	12	6.91174282814231e-51	4.00420301177045e-49
SRR2064449	28	12	9.77615805722797e-51	5.61022353416205e-49
SRR1610252	29	12	5.21112335405777e-50	2.96254797782556e-48
SRR1535526	29	12	6.0608036405401e-50	3.41369153198199e-48
SRR4293696	29	12	7.10638912677115e-50	3.96588670258247e-48
SRR1610253	29	12	9.19963393866422e-50	5.08739756808131e-48
SRR1758391	29	12	1.1698110408031e-49	6.41077528036512e-48
SRR1610250	28	12	1.54878262637899e-49	8.41182563952091e-48
SRR1257270	28	12	2.26162931271224e-49	1.21747708931226e-47
SRR1758390	28	12	4.93415311925615e-49	2.63284679161712e-47
SRR1257249	28	12	5.01334913861235e-49	2.65184372262425e-47
SRR1976447	29	12	5.80501632753141e-49	3.04413054485979e-47
SRR1257250	28	12	6.16651003865903e-49	3.20605816796264e-47
SRR2873539	30	12	8.95298683902793e-49	4.61534058828872e-47
SRR1257253	28	12	1.28031528300183e-48	6.54467047605053e-47
SRR1758381	28	12	1.84170667855583e-48	9.33591810471258e-47
SRR1758407	29	12	2.26258479091802e-48	1.13683817919626e-46
SRR1257259	28	12	2.28003054186986e-48	1.13683817919626e-46
SRR1257256	28	12	4.05874470451177e-48	2.00726374288984e-46
SRR2873536	29	12	4.32200093306593e-48	2.12022029643872e-46
SRR1333394	29	12	5.41525753298909e-48	2.63528092585381e-46
SRR1257260	28	12	6.08579442186315e-48	2.93808630699949e-46
SRR1758392	28	12	6.2027863300072e-48	2.97098812956172e-46
SRR1758397	28	12	9.3091344451304e-48	4.42402068982252e-46
SRR2874130	30	12	2.81272685685937e-47	1.32634243955625e-45
SRR2873533	30	12	4.05924673654032e-47	1.8994152229519e-45
SRR2873537	29	12	4.44067331202666e-47	2.06203173718001e-45
SRR1758379	29	12	5.17930157018488e-47	2.38679480692687e-45
SRR3306589	29	12	5.80469099061457e-47	2.65488235307582e-45
SRR1535546	28	12	9.42434510812126e-47	4.2782306934852e-45
SRR1585515	28	14	9.99362662426714e-47	4.50305413003089e-45
SRR2873536	30	12	2.41457794840946e-46	1.07999100442461e-44
SRR2433794	30	12	3.2510783755975e-46	1.43311838669615e-44
SRR2064453	29	12	3.25119739214318e-46	1.43311838669615e-44
SRR2873533	29	12	4.2652440916173e-46	1.86658128124518e-44
SRR2873532	30	12	7.53112552080885e-46	3.27227403879145e-44
SRR2873538	30	12	7.60187783957821e-46	3.27959027646484e-44
SRR1758393	29	12	7.8863579029871e-46	3.37836021999088e-44
SRR1535542	28	12	1.15494366171351e-45	4.912952653289e-44
SRR2873539	29	12	1.32919262057887e-45	5.61491577151476e-44
SRR1257257	28	12	1.77701051367728e-45	7.45486548599925e-44
SRR1535528	29	12	3.77589019502149e-45	1.57320137372025e-43
SRR1535530	29	12	4.8590416767489e-45	2.01071772242609e-43
SRR1758411	29	12	1.39826202135332e-44	5.74704586208938e-43
SRR1916548	29	12	2.22092982803772e-44	9.06705781473386e-43
SRR1257272	29	12	5.14210480950169e-44	2.08529490374659e-42
SRR1661493	29	12	5.94569389424456e-44	2.39520900388673e-42
SRR2873538	29	12	6.83118168014967e-44	2.733820931602e-42
SRR2874130	29	12	1.08026504240313e-43	4.29493611303151e-42
SRR2873537	30	12	1.19619408846903e-43	4.72496664945265e-42
SRR1585551	28	14	1.25478556365932e-43	4.92442618305785e-42
SRR1257227	28	12	2.01754741286811e-43	7.86714161056201e-42
SRR1333394	30	12	2.39811888965393e-43	9.29156509921329e-42
SRR1758395	28	12	3.0437834603048e-43	1.17185663221735e-41
SRR1758412	29	12	4.18230608888277e-43	1.60006087664616e-41
SRR1585521	29	14	6.40469931520157e-43	2.4349866208982e-41
SRR1528697	29	12	8.22858611560025e-43	3.10897449324201e-41
SRR2064453	30	12	9.18235492302247e-43	3.44791759239171e-41
SRR1585515	29	14	1.11939718497223e-42	4.17748041483809e-41
SRR1758390	29	12	1.35580905461039e-42	5.0288941946311e-41
SRR1257269	29	12	1.37027962557372e-42	5.05176421961512e-41
SRR2874129	29	12	2.12578093123529e-42	7.78983458114713e-41
