samples	reads	mapped	chimera	multimappers	multimappers_toomany	unmapped_tooshort	unmapped_other
hg19/STAR/SRR3356523.fastq.gz	44716778	10253215	0	28435055	1257549	4570430	200529
hg19/STAR/SRR3356527.fastq.gz	38333571	5361889	0	31225612	454087	1263609	28374
hg19/STAR/SRR3356528.fastq.gz	38629161	3110566	0	34187875	149766	1131669	49285
hg19/STAR/SRR4045263	93792757	32040923	3496	54809714	2506442	4382928	52750
hg19/STAR/SRR4045264	41467836	15185042	1577	23456390	1055812	1751510	19082
hg19/STAR/SRR4045265	52324921	16855881	1919	31353324	1450630	2631418	33668
hg19/STAR/SRR4045266	30289622	2258481	514	26740149	706620	573115	11257
hg19/STAR/SRR4045267	24201702	1703039	371	21367721	628939	492580	9423
hg19/STAR/SRR4045268	28100273	902238	411	25948657	719188	520853	9337
hg19/STAR/SRR4045269	32871889	1232560	491	28687081	1171938	1760879	19431
hg19/STAR/SRR4045270	38499581	11689222	381	23991402	1099765	1693249	25943
hg19/STAR/SRR4045271	29452225	8741133	386	19173299	1084951	427631	25211
hg19/STAR/SRR4045272	26455603	4840943	172	20626192	752695	209678	26095
hg19/STAR/SRR4045273	22089034	3944643	119	17402387	594733	128062	19209
hg19/STAR/SRR4045274	28770886	3499570	213	20784123	4289129	172999	25065
hg19/STAR/SRR4045275	25736976	2956962	136	19148678	3454975	155152	21209
hg19/STAR/SRR4045276	60759649	13819627	930	45636126	607533	605750	90613
hg19/STAR/SRR4045277	75015731	8724824	888	61938675	3023341	1067430	261461
hg19/STAR/SRR4045278	21118919	3749854	298	15928593	448029	950633	41810
hg19/STAR/SRR4045279	16763760	633467	0	15612754	417798	93172	6569
hg19/STAR/SRR4045280	25661953	1130974	0	23174580	1093737	248502	14160
hg19/STAR/SRR4045281	9806691	1161526	0	8298717	281425	55042	9981
hg19/STAR/SRR4045282	20545714	2100432	0	17668124	572556	188777	15825
hg19/STAR/SRR4045283	107319874	22408154	3562	77165485	4809830	2821745	114660
hg19/STAR/SRR4045284	38958209	8582778	0	28159612	1685045	465721	65053
hg19/STAR/SRR4045285	34119638	2836690	0	29628537	1285291	313481	55639
hg19/STAR/SRR4045286	79498814	8911246	0	67420757	2574319	493267	99225
hg19/STAR/SRR4045287	110825533	21245658	5108	80768519	5801286	2939023	71047
hg19/STAR/SRR4045288	19057146	4390446	0	13134101	1273010	232204	27385
hg19/STAR/SRR4045289	18329983	1761707	0	15384093	965562	183353	35268
hg19/STAR/SRR4045290	12647660	1566078	0	10602568	394436	71526	13052
hg19/STAR/SRR4045291	27595220	7022219	0	18229868	1994202	273173	75758
hg19/STAR/SRR4045292	36313265	10751140	0	23112859	1968947	409436	70883
hg19/STAR/SRR4045293	25871138	1916058	0	22796295	998197	90697	69891
hg19/STAR/SRR4045294	16165622	1221925	0	14140105	708323	70309	24960
hg19/STAR/SRR4293693	175578037	43763818	30806	115603042	2081210	13886152	243815
hg19/STAR/SRR4293694	182419399	50126996	29654	112459827	2652684	16871441	308451
hg19/STAR/SRR4293695	191807892	80376050	29998	94421836	3162046	13638687	209273
hg19/STAR/SRR4293696	216932130	67590620	31885	131295172	3571351	14186771	288216
hg19/STAR/SRR5099275	46783615	1224314	11536	44035292	1048142	464039	11828
hg19/STAR/SRR5099276	44410001	18466755	48744	23376304	1385714	705900	475328
hg19/STAR/SRR5099277	40188357	1295240	15362	37502574	940617	433578	16348
hg19/STAR/SRR5099278	37512133	16447286	24913	18794035	1329382	608739	332691
hg19/STAR/SRR5099279	47498029	1619898	23178	44550828	790431	517417	19455
hg19/STAR/SRR5099280	51191488	22405418	65552	26068582	1480063	831130	406295
hg19/STAR/SRR5345621	69049989	16703249	48952	43114126	2555016	6598750	78848
hg19/STAR/SRR5345622	47443175	8289493	39513	33472659	654517	5005618	20888
hg19/STAR/SRR5345623	46132238	9118970	33710	31765326	1552461	3651637	43844
hg19/STAR/SRR5345624	49281955	6702007	34085	33762860	2921444	5853535	42109
hg19/STAR/SRR5413155	34501068	5424628	290	26858269	920203	1255430	42538
hg19/STAR/SRR5413156	22974967	3450993	135	18211374	589031	681676	41893
hg19/STAR/SRR5413157	22171374	1931941	160	19421156	305611	487664	25002
hg19/STAR/SRR5413158	31280806	2602618	1082	27275410	366220	996668	39890
hg19/STAR/SRR627620	135303626	8789996	5503	116377011	1450609	8674830	11180
hg19/STAR/SRR627621	136056052	6234318	4208	124192914	445568	5173827	9425
hg19/STAR/SRR627622	146303176	10084025	6478	133075627	863629	2266215	13680
hg19/STAR/SRR627623	145075808	9143347	13165	129064497	1006320	5823249	38395
hg19/STAR/SRR627624	145273493	7218840	6087	129663348	1029533	7323633	38139
hg19/STAR/SRR627625	159844674	13475594	7659	143117193	977596	2258823	15468
hg19/STAR/SRR627626	141658443	7440355	9744	131048286	597411	2554410	17981
hg19/STAR/SRR627627	176310769	13281114	8787	159400468	1091795	2501104	36288
hg19/STAR/SRR810100	159484041	11892657	4537	119140867	2610773	25801016	38728
hg19/STAR/SRR810101	162763615	13975928	4357	132891080	1586381	14287899	22327
hg19/STAR/SRR810102	168216398	16668348	5647	130393034	2336516	18754585	63915
hg19/STAR/SRR810103	123276828	11846234	4977	102742626	2050768	6598009	39191
hg19/STAR/SRR810104	115469946	9368725	4573	99035078	1607321	5426108	32714
hg19/STAR/SRR931815	93826407	14562665	0	75242798	2283599	1712775	24570
hg19/STAR/SRR931817	127399109	12671558	0	109959581	1607999	3095518	64453
hg19/STAR/SRR931819	67026629	12065219	0	52873588	1140031	921450	26341
hg19/STAR/SRR931821	90077819	21389600	0	64163502	3275128	1214471	35118
hg19/STAR/SRR931823	93512729	12513140	0	73677199	6209992	954512	157886
hg19/STAR/SRR931825	201296355	27381171	0	152039186	16825953	4375803	674242
hg19/STAR/SRR944653	21249164	8087080	119519	12099973	451576	569717	40818
